rank,name,page,source_page,line_x,line_y,rough_x,rough_y,dx,dy,line_ink,edge_f1,chamfer,match_score,decision,notes
106,kuripm_0001_l2880_4800_r2968_4736.jpg,0001,page0001.clip,2880,4800,2968,4736,88,-64,0.08424479166666667,0.5042654230472434,10.115663528442383,1.0210001568166074,,
107,kuripm_0022_l0000_1920_r0112_1832.jpg,0022,page0022.clip,0,1920,112,1832,112,-88,0.010217013888888888,0.49975582539871305,10.178593158721924,0.9756915944928317,,
108,kuripm_0012_l0000_5760_r0064_5768.jpg,0012,page0012.clip,0,5760,64,5768,64,8,0.024171006944444445,0.48547343655082736,8.78429388999939,0.9688849895383498,,
109,kuripm_0038_l0000_3840_r0032_3720.jpg,0038,page0038.clip,0,3840,32,3720,32,-120,0.011684027777777778,0.5487127189968877,10.360812187194824,0.9376677034477161,,
110,kuripm_0001_l0000_4800_r0016_4784.jpg,0001,page0001.clip,0,4800,16,4784,16,-16,0.04684027777777778,0.4924117835867086,9.61449146270752,0.9337177651143429,,
111,kuripm_0031_l0960_0960_r1128_1136.jpg,0031,page0031.clip,960,960,1128,1136,168,176,0.033606770833333334,0.49331944397614197,9.374906539916992,0.9292153326746946,,
112,kuripm_0039_l3840_0960_r3984_1136.jpg,0039,page0039.clip,3840,960,3984,1136,144,176,0.020199652777777778,0.5099175461987085,9.304547309875488,0.9239521520532414,,
113,kuripm_0028_l2880_5760_r2960_5928.jpg,0028,page0028.clip,2880,5760,2960,5928,80,168,0.0159765625,0.49155288127748203,9.999024629592896,0.8581481922334258,,
114,kuripm_0009_l0960_3840_r0984_3864.jpg,0009,page0009.clip,960,3840,984,3864,24,24,0.07103732638888889,0.4925227211841772,10.398967504501343,0.819886734755116,,
115,kuripm_0006_l0000_2880_r0144_2896.jpg,0006,page0006.clip,0,2880,144,2896,144,16,0.05688802083333333,0.4802838979301674,10.17004919052124,0.8120818222366268,,
