rank,page,source_page,line_x,line_y,rough_x,rough_y,dx,dy,line_ink,line_edges,rough_edges,rough_std,edge_f1,chamfer,orientation_entropy,match_score
664,0019,page0019.clip,2880,2880,2704,2808,-176,-72,0.05782986111111111,4978,9409,42.272991524809285,0.38522972816245493,12.607203960418701,0.5551297760633803,-0.15118833042076146
665,0027,page0027.clip,720,3600,528,3448,-192,-152,0.046861979166666665,6789,8498,22.95604625389578,0.3785443599172718,13.401507377624512,0.7953203802933557,-0.151323371703859
666,0005,page0005.clip,720,5760,888,5904,168,144,0.03284722222222222,2721,6145,20.18762985476422,0.40557422920892067,13.893682956695557,0.7445146866401836,-0.15525369598236116
667,0014,page0014.clip,0,5040,48,5184,48,144,0.05822048611111111,4837,4193,24.078038908749576,0.3936788768750088,13.207769870758057,0.6473055735426354,-0.15531513094245908
668,0028,page0028.clip,1440,5760,1440,5632,0,-128,0.0224609375,2402,4935,28.281495090946756,0.39580908587664426,13.322495937347412,0.6590432603833735,-0.15821914977956264
669,0038,page0038.clip,4320,720,4256,856,-64,136,0.021671006944444446,1310,1806,13.92567543019246,0.42827481197803724,12.753969669342041,0.31391376552298256,-0.1582888615598364
670,0027,page0027.clip,2880,5040,2920,4944,40,-96,0.06817708333333333,8946,11158,31.928309154653824,0.37067245394915693,12.982927799224854,0.7284403051563164,-0.1604710459741333
671,0005,page0005.clip,4481,5040,4369,5040,-112,0,0.013962673611111111,1209,4283,17.705830732831124,0.3671237681741208,12.716281652450562,0.6831083224490323,-0.16115083166028266
672,0001,page0001.clip,3600,2160,3704,2160,104,0,0.03328559027777778,4235,8292,35.957312113670355,0.3857609646924457,13.467140674591064,0.7509001790235738,-0.16390316823712536
673,0038,page0038.clip,1440,4320,1536,4128,96,-192,0.12243923611111111,7670,6258,28.959070405958972,0.3987831904505516,13.59452772140503,0.7008322674774912,-0.16432377804625486
674,0033,page0033.clip,3600,2160,3680,2352,80,192,0.032352430555555554,2313,2440,11.331214895843562,0.4063321528386318,13.885069847106934,0.721399592796424,-0.16823353099108873
675,0005,page0005.clip,4320,5040,4352,5184,32,144,0.041167534722222225,2660,3237,16.60337717348785,0.416344539183909,14.122411727905273,0.7180736965794849,-0.1683006923979219
676,0022,page0022.clip,1440,720,1432,656,-8,-64,0.03162760416666666,3918,5247,16.851265934761642,0.4051780962766992,13.176159858703613,0.5434890433573992,-0.1745502556713071
677,0029,page0029.clip,2880,2880,2992,2920,112,40,0.029526909722222223,2515,3394,28.990622948773503,0.389437305128818,13.466700077056885,0.7138838963255819,-0.17504637270682144
678,0027,page0027.clip,2880,1440,2928,1408,48,-32,0.04660590277777778,5840,13693,31.981734141395837,0.37095111312193657,13.167452812194824,0.7543297456438823,-0.1752712003141761
679,0001,page0001.clip,0,5760,16,5688,16,-72,0.07069444444444445,6626,8852,42.46100330912244,0.38628822560895365,13.075047969818115,0.6345532024345814,-0.1759259039711899
680,0005,page0005.clip,4481,4320,4401,4464,-80,144,0.01965277777777778,1962,2407,14.711589185298136,0.3849896570172442,13.439944744110107,0.7324616709880859,-0.177071326945332
681,0002,page0002.clip,2880,3600,2824,3440,-56,-160,0.032100694444444446,3751,9271,35.92431071780595,0.3463291988801548,12.485115766525269,0.7347956702776445,-0.1775406226821643
682,0013,page0013.clip,720,4320,640,4512,-80,192,0.05994791666666666,3825,3628,14.112759571291697,0.38692938487976203,13.741512298583984,0.7935792356288971,-0.17879214681486888
683,0034,page0034.clip,720,1440,592,1360,-128,-80,0.04907552083333333,7092,8683,28.6034826802989,0.3830435423944354,13.501410961151123,0.7553390568963082,-0.18079323474100117
684,0006,page0006.clip,720,4320,808,4152,88,-168,0.041041666666666664,3024,10158,60.243710677513775,0.3727892354761609,12.71977710723877,0.62159900745472,-0.18273003810317362
685,0010,page0010.clip,2160,720,2272,904,112,184,0.08447482638888888,8598,9827,30.602073930017205,0.3724330146842195,13.253876209259033,0.7565769131749499,-0.18334863789074918
686,0020,page0020.clip,2160,0,2000,160,-160,160,0.020121527777777776,3804,2497,21.179156379075874,0.38452046496174686,12.648800373077393,0.5284348151024325,-0.18440989772479838
687,0020,page0020.clip,1440,5760,1552,5704,112,-56,0.040373263888888886,4994,7563,29.212798165810085,0.3778251482980915,13.391790866851807,0.75588403412087,-0.18452520458320798
688,0031,page0031.clip,1440,5040,1568,5072,128,32,0.04446614583333333,4588,4156,13.260987346202848,0.387434069185466,12.520929336547852,0.4731225052102335,-0.18851751721405346
689,0015,page0015.clip,3600,2160,3760,2296,160,136,0.047200520833333336,4606,6644,21.045327799900576,0.3902487388091856,13.71208667755127,0.7515014289844394,-0.18997249827677443
690,0025,page0025.clip,2160,720,2032,800,-128,80,0.016575520833333333,1738,2173,20.758643728096697,0.38645550328010075,13.395081996917725,0.6931706360843677,-0.1922023741155473
691,0028,page0028.clip,2160,2880,2288,2792,128,-88,0.10432291666666667,9974,10273,25.467957225953437,0.37736483892359773,12.880393028259277,0.6167052463035264,-0.19589021399104584
692,0026,page0026.clip,2880,5760,2856,5824,-24,64,0.027621527777777776,1956,5645,35.197184438954956,0.3516140695705306,12.249548435211182,0.6157070648676585,-0.19927368729545658
693,0016,page0016.clip,1440,2160,1616,2304,176,144,0.06531684027777777,7062,5469,23.754618884482202,0.3943723657012444,13.554469585418701,0.6738719179596527,-0.19993455420979633
694,0009,page0009.clip,0,3600,104,3568,104,-32,0.012534722222222221,3448,5809,26.023192912387973,0.3783636557720382,12.719025611877441,0.5604038699114336,-0.2036637475861504
695,0033,page0033.clip,2880,3600,3000,3664,120,64,0.05434027777777778,5085,7201,26.924758388907513,0.36738512456153477,13.365249633789062,0.7897825289822177,-0.20429828076436451
696,0033,page0033.clip,720,1440,552,1432,-168,-8,0.04294704861111111,3936,6047,28.719362848868144,0.3759820959434272,13.574535846710205,0.78415851753945,-0.20766987559334504
697,0008,page0008.clip,3600,2160,3544,1992,-56,-168,0.043680555555555556,2854,4869,22.644127810926896,0.37242848721130756,12.924510478973389,0.6437298801066564,-0.20777575565281514
698,0029,page0029.clip,1440,1440,1552,1512,112,72,0.03537760416666667,4662,6438,23.388002995319685,0.39290374349797097,13.09721565246582,0.5583757007104827,-0.2082238524349232
699,0029,page0029.clip,720,5040,856,5104,136,64,0.031584201388888886,1763,6923,29.20893984773048,0.3472688796053881,12.520957708358765,0.6990561982162473,-0.20860218507181483
700,0018,page0018.clip,2880,3600,2856,3520,-24,-80,0.0826953125,6926,8080,46.17255017810414,0.4234031001806208,13.411052227020264,0.4442335791602989,-0.20980808117270988
701,0039,page0039.clip,2160,1440,2096,1336,-64,-104,0.07013454861111111,3735,12026,36.85088217229196,0.4067648268520881,11.831907510757446,0.1489612489315979,-0.21338836874577038
702,0039,page0039.clip,2160,3600,2296,3792,136,192,0.07006076388888889,5320,6798,32.225909660727524,0.35724607275284515,13.04230785369873,0.7546887781745708,-0.21848018443586392
703,0014,page0014.clip,720,1440,736,1600,16,160,0.05591579861111111,3904,7048,28.7013007983163,0.3923828354381995,13.872545719146729,0.7392102736366792,-0.22122674772900486
704,0028,page0028.clip,720,0,712,192,-8,192,0.03178385416666667,4987,3355,14.421075041849493,0.35737899487474867,12.906856060028076,0.7130464735762903,-0.22403905877084018
705,0016,page0016.clip,3600,2160,3424,2256,-176,96,0.15616319444444443,8109,10727,43.48593897252042,0.3593691112853284,13.124943256378174,0.7503019034102364,-0.22790157212080375
706,0030,page0030.clip,2880,2160,3032,2136,152,-24,0.09274305555555555,5622,3113,16.12403882839998,0.3935890097309674,13.030060768127441,0.5105607614704829,-0.2296184957942653
707,0039,page0039.clip,2880,3600,2696,3688,-184,88,0.052999131944444444,4895,9404,35.36684561728202,0.3693203419471872,12.39970588684082,0.5000067210260138,-0.23333409081141726
708,0037,page0037.clip,2160,1440,2304,1376,144,-64,0.06302083333333333,8454,6577,24.70277336822279,0.3807475197623464,13.366900444030762,0.6699867004873293,-0.23365312960455709
709,0005,page0005.clip,3600,2880,3784,3032,184,152,0.06568142361111111,8770,8196,33.143699435655975,0.3710126643931338,13.236181259155273,0.6876343678936884,-0.24206543555043536
710,0026,page0026.clip,2880,2160,2816,2104,-64,-56,0.037651909722222224,3370,4735,32.17728301428124,0.36777459222587194,13.453811168670654,0.760515860796174,-0.24347658396783212
711,0007,page0007.clip,720,3600,752,3784,32,184,0.020399305555555556,1355,2236,12.2081914127507,0.46028568520340646,15.236028671264648,0.6260921911565217,-0.2449035553106802
712,0037,page0037.clip,720,3600,688,3552,-32,-48,0.03298177083333333,3092,10047,42.674800974399595,0.3724941704411241,13.465583324432373,0.7183126997953975,-0.2559956528445363
713,0011,page0011.clip,2880,4320,3056,4384,176,64,0.04684027777777778,3780,4028,18.986940113210174,0.4249981624084988,13.909186363220215,0.5007488207343543,-0.25624740401406565
714,0029,page0029.clip,3600,4320,3608,4512,8,192,0.01792534722222222,1171,1941,34.84008399998969,0.3695635901679959,12.530696153640747,0.496295119097325,-0.26128518461031014
715,0005,page0005.clip,1440,720,1584,912,144,192,0.08348090277777778,6672,14296,34.52897574562665,0.36480944510648805,13.510396480560303,0.7691994684053927,-0.26267249585530617
716,0026,page0026.clip,2880,720,2864,648,-16,-72,0.04746527777777778,5134,9612,38.532195557042655,0.35222554811803525,13.240508556365967,0.7797235255078414,-0.26319515027674434
717,0015,page0015.clip,3600,4320,3728,4352,128,32,0.065859375,4615,11220,34.46198737138816,0.3710524626114676,13.288632869720459,0.6721086096087727,-0.2647773731997358
718,0034,page0034.clip,4320,5040,4248,5064,-72,24,0.01342013888888889,1075,1791,12.131359656253498,0.39699012316102406,13.717376708984375,0.616736716819311,-0.2651353525363063
719,0036,page0036.clip,1440,3600,1568,3456,128,-144,0.07641059027777777,4872,5855,25.075240595577302,0.40472137197580205,14.289260387420654,0.7110420032088721,-0.265411615038023
720,0031,page0031.clip,1440,3600,1440,3720,0,120,0.115546875,7482,10428,24.207251854762564,0.3866161309753594,13.733476638793945,0.6794303498367535,-0.2700703930125893
721,0014,page0014.clip,1440,2160,1632,2352,192,192,0.032556423611111114,2601,4492,24.56701457805129,0.3714905580183019,13.650195121765137,0.7450415779128388,-0.2765529719312473
722,0032,page0032.clip,0,3600,48,3448,48,-152,0.02142795138888889,728,1946,11.098474937108,0.3940407908585691,12.556219339370728,0.3286732695192261,-0.27810129796591954
723,0001,page0001.clip,3600,2880,3664,2904,64,24,0.04910590277777778,6638,9737,33.154714929641194,0.4173304675781275,14.018866062164307,0.5461909982202315,-0.28016807596603915
724,0015,page0015.clip,3600,2880,3792,3040,192,160,0.02701388888888889,3312,8104,20.03823136677782,0.39625804242039075,13.408373832702637,0.5189703932936566,-0.28520823980364857
725,0019,page0019.clip,2880,2160,2856,2312,-24,152,0.092890625,6330,11805,42.02681307089873,0.37253577319298525,13.398471355438232,0.6621912234554269,-0.28726242635837873
726,0022,page0022.clip,2880,2160,3016,2328,136,168,0.069375,6725,11205,32.69332984835073,0.3636008865058383,13.71118688583374,0.7955212446982184,-0.28781594887898176
727,0010,page0010.clip,2880,720,2704,864,-176,144,0.05342881944444444,10555,7954,29.183186094305288,0.36018321778378476,13.33633041381836,0.7202477527293701,-0.29015179166125216
728,0027,page0027.clip,2880,720,3048,608,168,-112,0.05513020833333333,7425,9214,29.62736251774852,0.37929972468721235,14.075308322906494,0.7828969144539282,-0.2922455095820946
729,0012,page0012.clip,720,5040,880,5128,160,88,0.08336805555555556,5355,9164,32.73321521325491,0.36649719999262304,13.814454078674316,0.7974304399980326,-0.292460463773322
730,0035,page0035.clip,4320,720,4280,864,-40,144,0.011384548611111111,2296,5244,16.968256106524233,0.3810808138449764,13.017517566680908,0.5046029514776711,-0.2944170829291631
731,0006,page0006.clip,2880,1440,2992,1584,112,144,0.09647135416666666,9803,12152,31.113305383308276,0.3746605601618515,13.757641315460205,0.7293509352334848,-0.29474471409599556
732,0036,page0036.clip,1440,4320,1592,4512,152,192,0.0666232638888889,5291,7602,23.30668202554646,0.34844916777476115,13.285131931304932,0.768786753699151,-0.2997511444278598
733,0006,page0006.clip,720,720,784,864,64,144,0.01627170138888889,4262,1943,16.340831201299558,0.3692266675973929,12.524299621582031,0.4449732322279305,-0.30274800054709716
734,0026,page0026.clip,1440,2880,1384,2856,-56,-24,0.03477864583333334,4356,7775,42.361862643527566,0.3473139323840372,13.408184051513672,0.8026196210214844,-0.30297145156536076
735,0025,page0025.clip,2160,2880,2136,2720,-24,-160,0.0518359375,4216,5353,40.841549548711065,0.38907327684447357,14.307268619537354,0.7654373025687207,-0.3037374976301265
736,0020,page0020.clip,3600,3600,3600,3488,0,-112,0.05891493055555556,5046,7369,34.67117801085311,0.41604054256380707,14.491699695587158,0.6346825865520676,-0.3103911570567425
