rank,page,source_page,line_x,line_y,rough_x,rough_y,dx,dy,line_ink,line_edges,rough_edges,rough_std,edge_f1,chamfer,orientation_entropy,match_score
68,0036,page0036.clip,2880,3840,2976,4008,96,168,0.05583333333333333,5724,5120,25.070416100408234,0.5973125690584646,9.109035968780518,0.7113617455681772,1.7338450479907617
69,0033,page0033.clip,3840,4800,3896,4976,56,176,0.04731770833333333,5170,11227,32.957362945510674,0.5318463924497292,7.64733624458313,0.7213927805811169,1.7068789377969136
70,0019,page0019.clip,2880,4800,2712,4848,-168,48,0.046362847222222225,3259,2573,19.78187152882994,0.5436936735253819,7.824169397354126,0.6842751302004226,1.7010545923164224
71,0016,page0016.clip,1920,1920,1840,2088,-80,168,0.04216145833333333,2936,4539,26.13964127631148,0.563611967224119,8.513345718383789,0.6980434808561679,1.6738254771287715
72,0008,page0008.clip,960,2880,880,2784,-80,-96,0.01466579861111111,991,2232,20.001816921163222,0.5779333297949065,8.432228803634644,0.5608519409745858,1.6519024410272727
73,0008,page0008.clip,1920,5760,1936,5616,16,-144,0.021453993055555554,2620,8416,29.33069138927638,0.5273574212266174,7.575829267501831,0.6618462471154776,1.651098250325103
74,0034,page0034.clip,1920,4800,2096,4976,176,176,0.014453125,1380,2267,13.94689300861313,0.4873815288245056,6.4369988441467285,0.5882393972028357,1.6200993930554508
75,0008,page0008.clip,3840,2880,3776,2752,-64,-128,0.047174479166666665,7496,8941,36.08723324102416,0.5745380544809219,8.58858871459961,0.580473759592912,1.6193515371590173
76,0040,page0040.clip,2880,2880,2752,3056,-128,176,0.06703125,6317,10687,28.729344677173703,0.5326212724261393,8.318060874938965,0.7717434950091354,1.6168889831502118
77,0009,page0009.clip,2880,4800,2960,4832,80,32,0.06726996527777777,8097,12035,35.19645712108701,0.5801042115666162,8.796755313873291,0.5792303384059913,1.6045542657832157
78,0033,page0033.clip,960,3840,1136,3936,176,96,0.03322482638888889,1935,4159,23.186824746948087,0.5616924225238803,8.000003099441528,0.4907905133158192,1.601093903383751
79,0029,page0029.clip,0,2880,176,2912,176,32,0.018806423611111112,1932,3618,21.207092124738384,0.535317143777833,7.978480577468872,0.6293953000335253,1.584405843422211
80,0002,page0002.clip,1920,2880,1888,2752,-32,-128,0.08309027777777778,8529,14726,49.81248709856045,0.5177063966764943,8.251907110214233,0.7811213249261566,1.5630476212805502
81,0025,page0025.clip,960,2880,984,2784,24,-96,0.041805555555555554,4080,3148,29.52213957376031,0.5433448732181311,8.807441234588623,0.7584686941497187,1.5620110744927056
82,0006,page0006.clip,2880,2880,3024,3056,144,176,0.043715277777777777,2886,5313,20.27391113427211,0.5134998823173397,8.289886236190796,0.7787320603405861,1.5325078126210079
83,0029,page0029.clip,960,3840,1112,3928,152,88,0.03631510416666667,2577,3157,18.678956219045386,0.5576664347581565,9.256558895111084,0.7390179005142766,1.5282347151799867
84,0001,page0001.clip,1920,4800,1976,4808,56,8,0.06634548611111112,4810,7128,38.57763035045821,0.5202474314562834,8.627745628356934,0.7858758674236813,1.5043887255489752
85,0019,page0019.clip,3840,2880,3664,2960,-176,80,0.06527777777777778,7186,9839,44.88212604228458,0.5487086603636302,8.564769983291626,0.5539255491011486,1.4737297444407442
86,0010,page0010.clip,1920,4800,2096,4976,176,176,0.0359765625,1825,2436,11.881275805303554,0.5118779350275497,8.264035701751709,0.6930054158764988,1.460986867488606
87,0008,page0008.clip,2880,5760,2824,5720,-56,-40,0.019934895833333334,1134,2926,19.43562366494307,0.572784595565801,9.186938762664795,0.5258857033238831,1.4472437879551523
88,0005,page0005.clip,4481,2880,4321,2848,-160,-32,0.04945746527777778,4977,9233,34.519229275559255,0.5069575884306129,8.228662490844727,0.695763067795468,1.4456658982204935
89,0009,page0009.clip,1920,4800,1912,4848,-8,48,0.07551649305555555,7376,10681,32.128821446283816,0.5186409324261521,9.033066511154175,0.780613766912436,1.4110823734298739
90,0006,page0006.clip,960,2880,800,3024,-160,144,0.06019965277777778,6857,8026,36.31144567318919,0.5410817027248437,8.427165269851685,0.4629037504895728,1.3902984600455397
91,0009,page0009.clip,2880,5760,2896,5728,16,-32,0.0450390625,4841,7430,35.64888085967736,0.577076246712476,9.506672143936157,0.4985990390981688,1.3829260360536837
92,0015,page0015.clip,0,4800,120,4920,120,120,0.01825520833333333,1740,1673,17.626677530716258,0.5784763377738231,10.235080242156982,0.6682554383324006,1.37996999110364
93,0001,page0001.clip,1920,1920,1960,1872,40,-48,0.0628515625,4979,7132,38.75761034082981,0.5073114471297177,9.027823448181152,0.7897646349237,1.3628042539513179
94,0001,page0001.clip,1920,5760,1984,5736,64,-24,0.08168836805555556,5968,8386,47.33047562188011,0.5093582153431,9.043982028961182,0.7560183115197741,1.342809320139083
95,0001,page0001.clip,3840,960,3920,912,80,-48,0.03289930555555556,1783,7137,26.18856693999787,0.4822127531234561,8.672006368637085,0.7732256795452326,1.2952430355260494
96,0002,page0002.clip,960,3840,912,3736,-48,-104,0.11743055555555555,5761,11638,48.106378387137944,0.502708801627963,9.374031066894531,0.7099988227733001,1.2067368529795492
97,0026,page0026.clip,2880,4800,2896,4800,16,0,0.03685329861111111,2717,4169,31.35811967551831,0.5373019888154318,10.203924179077148,0.653595023284866,1.1686011268896217
98,0019,page0019.clip,1920,2880,1760,2904,-160,24,0.017621527777777778,1961,3692,23.007760631032742,0.526548648337869,9.155886888504028,0.4449579287301633,1.1575322069726695
99,0039,page0039.clip,3840,5760,3728,5880,-112,120,0.012565104166666667,768,1630,16.592999154154864,0.5342944082037727,10.367370247840881,0.6602603442026636,1.126206266812818
100,0015,page0015.clip,960,4800,1136,4928,176,128,0.027235243055555556,1331,3176,15.945381995537412,0.5303611669407393,10.156277179718018,0.6169419467987718,1.1141039561991106
101,0001,page0001.clip,1920,960,1952,904,32,-56,0.04470920138888889,2274,6443,29.59787742969731,0.48753208599372805,9.771446943283081,0.7614723054199495,1.0925488856479837
102,0001,page0001.clip,2880,2880,2976,2880,96,0,0.06697916666666667,8785,12722,45.142444432188796,0.5174132079280532,9.746670246124268,0.5549173500818345,1.0816658704808804
103,0019,page0019.clip,960,960,784,976,-176,16,0.06112847222222222,3917,5225,34.69975597973606,0.48397229482207954,10.065736770629883,0.8037806719712068,1.0497386575613867
104,0013,page0013.clip,3840,3840,3736,4000,-104,160,0.030785590277777778,2124,2099,18.040504380019836,0.4931003994891588,9.602171421051025,0.5967436804400992,1.0224626575876683
105,0015,page0015.clip,3840,1920,3984,1992,144,72,0.016922743055555557,1906,3220,18.553000743318865,0.49282648814862434,10.011311769485474,0.6998819154688141,1.0217756192210783
106,0001,page0001.clip,2880,4800,2968,4736,88,-64,0.08424479166666667,8458,11121,44.66647235267573,0.5042654230472434,10.115663528442383,0.6535071840860831,1.0210001568166074
107,0022,page0022.clip,0,1920,112,1832,112,-88,0.010217013888888888,874,2415,14.148479463689378,0.49975582539871305,10.178593158721924,0.6407888740545642,0.9756915944928317
108,0012,page0012.clip,0,5760,64,5768,64,8,0.024171006944444445,4239,3776,18.015330314172402,0.48547343655082736,8.78429388999939,0.3729707309801136,0.9688849895383498
109,0038,page0038.clip,0,3840,32,3720,32,-120,0.011684027777777778,1143,990,12.75027278725681,0.5487127189968877,10.360812187194824,0.33283318237780324,0.9376677034477161
110,0001,page0001.clip,0,4800,16,4784,16,-16,0.04684027777777778,3904,7899,35.12908352107227,0.4924117835867086,9.61449146270752,0.4931964246528794,0.9337177651143429
111,0031,page0031.clip,960,960,1128,1136,168,176,0.033606770833333334,1500,4324,22.25277045700115,0.49331944397614197,9.374906539916992,0.4219992759717291,0.9292153326746946
112,0039,page0039.clip,3840,960,3984,1136,144,176,0.020199652777777778,962,3068,20.373398883823974,0.5099175461987085,9.304547309875488,0.2940923537934953,0.9239521520532414
113,0028,page0028.clip,2880,5760,2960,5928,80,168,0.0159765625,924,2809,14.17618000390159,0.49155288127748203,9.999024629592896,0.5002358897057437,0.8581481922334258
114,0009,page0009.clip,960,3840,984,3864,24,24,0.07103732638888889,6190,9675,36.21463447250815,0.4925227211841772,10.398967504501343,0.5463332871681233,0.819886734755116
115,0006,page0006.clip,0,2880,144,2896,144,16,0.05688802083333333,6407,3555,33.372064815774266,0.4802838979301674,10.17004919052124,0.5558402133625473,0.8120818222366268
