rank,sketch_page,line_page,model_index,region_index,score,edge_f1,edge_precision,edge_recall,chamfer,inlier_count,match_count,coverage,orientation_entropy,area_ratio,scale,angle,bbox,bbox_full,full_matrix,decision,notes
90,page0037,page0037,1,4,4.713517083216061,0.8102643285173339,0.7731976846167339,0.851063829787234,3.1855715666034525,11,113,0.25,0.7826511949694029,0.127208480565371,0.8779403298462127,-1.4238429164692188,"(0, 360, 240, 600)","(0, 3157, 2105, 5262)","[[0.877669253547716, 0.021815227421962943, -297.35449778039987], [-0.021815227421962943, 0.877669253547716, -123.71687060888097]]",,
91,page0023,page0023,1,7,4.705332270546789,0.7847059176684914,0.7097755249818972,0.877324289556777,2.8797732958214635,7,158,0.3125,0.799342945458806,0.2862190812720848,1.0720460993712293,-0.4924209322361007,"(0, 440, 360, 800)","(0, 3859, 3157, 7016)","[[1.0720065072710854, 0.009213443738143081, -242.51494127865652], [-0.009213443738143081, 1.0720065072710854, -180.07976487643538]]",,
92,page0014,page0014,1,3,4.6971824095472625,0.8057679365595148,0.7740631317058,0.8401808531551013,3.245152595403939,6,86,0.3125,0.7688925349297987,0.127208480565371,1.084323598236305,0.0742939357250527,"(0, 120, 240, 360)","(0, 1052, 2105, 3157)","[[1.0843226866656845, -0.0014060135986003592, -163.09280493514325], [0.0014060135986003592, 1.0843226866656845, -145.12903915236504]]",,
93,page0013,page0013,1,5,4.67069829977236,0.8173782904132956,0.7277383766745469,0.9322033898305084,2.7179933404555063,5,133,0.1875,0.7889304743620201,0.127208480565371,1.0754914349469247,-0.03060426632234493,"(326, 280, 566, 520)","(2859, 2456, 4964, 4560)","[[1.0754912815221018, 0.0005744685737253965, -303.1744698230185], [-0.0005744685737253965, 1.0754912815221018, -641.6320261298762]]",,
94,page0034,page0034,1,4,4.669111350594989,0.7704729794172032,0.7009069400630915,0.8553696708041014,2.9696808761080944,11,139,0.3125,0.8046797884450395,0.127208480565371,0.8975139848238316,1.94183429927027,"(120, 440, 360, 680)","(1052, 3859, 3157, 5964)","[[0.8969985797031081, -0.030412184481877696, -105.53787587753882], [0.030412184481877696, 0.8969985797031081, -372.41746885725297]]",,
95,page0057,page0057,1,2,4.6685542360575445,0.815965557709489,0.8149329929802169,0.8170007423904974,2.806968786926504,5,127,0.1875,0.8173238357350424,0.127208480565371,1.0787165892256607,0.18488867008741752,"(120, 440, 360, 680)","(1052, 3859, 3157, 5964)","[[1.0787109728995452, -0.003480921826114959, 79.46884606722882], [0.003480921826114959, 1.0787109728995452, 73.74568499596856]]",,
96,page0021,page0021,1,4,4.668504078296131,0.7887519477040431,0.6951146857313077,0.9115438761145003,2.7925954075366346,9,83,0.25,0.7899415126549464,0.127208480565371,1.0779940492914537,0.011694362000029162,"(280, 360, 520, 600)","(2456, 3157, 4560, 5262)","[[1.0779940268374304, -0.00022002410414687912, -217.17909046115017], [0.00022002410414687912, 1.0779940268374304, -263.8692674513168]]",,
97,page0019,page0019,1,3,4.665971225066174,0.7871742268824558,0.6940908481843763,0.9090909090909091,2.8074581834123093,8,105,0.25,0.8161559725700129,0.127208480565371,1.0783376043183666,-3.55059418129991,"(280, 120, 520, 360)","(2456, 1052, 4560, 3157)","[[1.0762677366679363, 0.06678134391244088, -334.9819058981418], [-0.06678134391244088, 1.0762677366679363, -12.980001373755123]]",,
98,page0013,page0013,1,7,4.663383458458164,0.7764744984526947,0.6584228377614472,0.9461062403300671,3.320290032836122,7,133,0.375,0.7912949847004187,0.127208480565371,1.0754914349469247,-0.03060426632234493,"(120, 120, 360, 360)","(1052, 1052, 3157, 3157)","[[1.0754912815221018, 0.0005744685737253965, -303.1744698230185], [-0.0005744685737253965, 1.0754912815221018, -641.6320261298762]]",,
99,page0014,page0014,1,1,4.642403309769523,0.8132582904255823,0.8041157056882159,0.8226111636707664,3.276201966754213,6,86,0.25,0.7785537913822699,0.127208480565371,1.084323598236305,0.0742939357250527,"(40, 40, 280, 280)","(351, 351, 2456, 2456)","[[1.0843226866656845, -0.0014060135986003592, -163.09280493514325], [0.0014060135986003592, 1.0843226866656845, -145.12903915236504]]",,
