rank,name,sketch_page,line_page,region_rank,region_score,tile_score,edge_f1,edge_precision,edge_recall,chamfer,orientation_entropy,rough_std,line_ink,support,rough_edges,line_edges,tile_bbox,decision,notes
189,ako5r_0042_0042_2954_4579.jpg,page0042,page0042,66,4.97599695473533,3.368537930901693,0.6431424985776227,0.5640544345377757,0.7480258435032304,6.142729759216309,0.7937148083081763,36.89355310377338,0.04227430555555556,1.0,6393,4179,"(2954, 4579, 3434, 5059)",,
190,ako5r_0008_0008_1006_0766.jpg,page0008,page0008,8,5.724889563441003,3.3666720972241206,0.62356217425839,0.48858809129526964,0.8615751789976134,6.328570365905762,0.8198023307464655,45.67494967829284,0.06742621527777778,1.0,13889,5447,"(1006, 766, 1486, 1246)",,
191,ako5r_0036_0036_1532_1200.jpg,page0036,page0036,70,4.96516062592923,3.3663292504953155,0.6384757036727515,0.6105976586568084,0.669021190716448,6.04499626159668,0.7977198632018867,37.664775635672385,0.062447916666666665,1.0,6492,4955,"(1532, 1200, 2012, 1680)",,
192,ako5r_0059_0059_3194_1292.jpg,page0059,page0059,69,4.97520190263176,3.3658451917779892,0.6489533970141035,0.5664367816091954,0.7596109839816934,6.305297374725342,0.7948217453222205,44.88746943333737,0.07543402777777777,1.0,13050,8740,"(3194, 1292, 3674, 1772)",,
193,ako5r_0018_0018_0526_1819.jpg,page0018,page0018,2,6.132773043206202,3.36565332140509,0.6300450342439546,0.5077484047402006,0.8299465240641711,6.2871551513671875,0.7160739755734428,39.56163498940608,0.059904513888888886,1.0,9873,4675,"(526, 1819, 1006, 2299)",,
194,ako5r_0049_0049_1246_4311.jpg,page0049,page0049,130,4.355755235393404,3.3631275430554544,0.65211263102832,0.5689615996364462,0.7637278189185412,6.0212273597717285,0.8168082181989869,42.6729933393855,0.10085503472222222,1.0,13203,7157,"(1246, 4311, 1726, 4791)",,
195,ako5r_0012_0012_1052_1292.jpg,page0012,page0012,3,6.063478878338192,3.3619037252849266,0.6162238136998016,0.5369419967076595,0.7229740746779716,6.343767166137695,0.8119226125168227,30.75501150079999,0.11879774305555556,1.0,10327,6133,"(1052, 1292, 1532, 1772)",,
196,ako5r_0030_0030_0831_3877.jpg,page0030,page0030,42,5.195670861480827,3.36122499110416,0.6310884631538891,0.5097516887070688,0.8282339271882262,6.036862373352051,0.7922556509787507,35.06553855115376,0.045399305555555554,1.0,10511,5164,"(831, 3877, 1311, 4357)",,
197,ako5r_0027_0027_2539_2631.jpg,page0027,page0027,122,4.4741643134966305,3.3585226488141005,0.6465944302250766,0.5776751993285775,0.7341861118920439,5.974920272827148,0.811762381537066,35.685321175252085,0.06609809027777777,1.0,11915,7114,"(2539, 2631, 3019, 3111)",,
198,ako5r_0030_0030_1976_4597.jpg,page0030,page0030,42,5.195670861480827,3.3548476167038506,0.6498945568206336,0.5614643545279383,0.7713874910136592,5.8555755615234375,0.6214241446040573,25.81990663188298,0.02651909722222222,1.0,5190,4173,"(1976, 4597, 2456, 5077)",,
199,ako5r_0043_0043_3259_2059.jpg,page0043,page0043,63,5.0001658950413415,3.3519210482067434,0.6819458080099374,0.6280969952556669,0.7458937198067633,6.927854537963867,0.722172539367035,23.17507822350194,0.029357638888888888,1.0,3794,2070,"(3259, 2059, 3739, 2539)",,
200,ako5r_0001_0001_1532_3859.jpg,page0001,page0001,15,5.535382212175649,3.3472207431933865,0.6279753561282525,0.47349075517932726,0.9320839791461181,6.299393177032471,0.7961440826653388,40.863997048417815,0.10821614583333333,1.0,17956,7097,"(1532, 3859, 2012, 4339)",,
201,ako5r_0038_0038_2677_1994.jpg,page0038,page0038,18,5.4746592007780785,3.3468832583313826,0.6597598781744467,0.5752162467092892,0.7734375,6.756980895996094,0.7228514581770702,24.798310976467295,0.03762586805555555,1.0,5318,3328,"(2677, 1994, 3157, 2474)",,
202,ako5r_0008_0008_1006_1486.jpg,page0008,page0008,8,5.724889563441003,3.3432454469499344,0.6290750294151788,0.5092273197654363,0.8226989365603227,6.449934959411621,0.7864048215502675,39.44294041301717,0.051983506944444445,1.0,11596,5454,"(1006, 1486, 1486, 1966)",,
203,ako5r_0012_0012_3176_1772.jpg,page0012,page0012,68,4.975504839152817,3.342918844542483,0.6403566871361773,0.5400320256204963,0.7864619678995115,5.854097843170166,0.7070365645283839,42.279191738321856,0.056276041666666665,1.0,7494,4299,"(3176, 1772, 3656, 2252)",,
204,ako5r_0021_0021_3176_3877.jpg,page0021,page0021,96,4.668504078296131,3.3366792504704157,0.651747022935846,0.5886482449589245,0.7299973937972374,6.227842330932617,0.7790462377916121,30.27503093245747,0.12672309027777778,1.0,6695,3837,"(3176, 3877, 3656, 4357)",,
